1836.04.02_TheIpswichJournal	0.066211
1836.05.14_TheIpswichJournal	0.968461
1836.05.21_TheIpswichJournal	0.810999
l
1836.04.30_TheIpswichJournal
1836.05.07_TheIpswichJournal
1836.05.07_TheIpswichJournal
