1830.07.13_TheBristolMercury	0.780971
8_TheBristolMercury
1830.06.15_TheBristolMercury
1830.06.22_TheBristolMercury
1830.06.29_TheBristolMercury
1830.06.29_TheBristolMercury
1830.06.29_TheBristolMercury
1830.07.06_TheBristolMercury
