1809.08.05_TheIpswichJournal_0001	5049	1809.08.05_TheIpswichJournal	25097
1809.08.05_TheIpswichJournal_0002	6696	1809.08.05_TheIpswichJournal	25097
1809.08.05_TheIpswichJournal_0003	6626	1809.08.05_TheIpswichJournal	25097
1809.08.05_TheIpswichJournal_0004	6726	1809.08.05_TheIpswichJournal	25097
1809.08.05_TheLeedsMercury_0001	6911	1809.08.05_TheLeedsMercury	31794
1809.08.05_TheLeedsMercury_0002	7978	1809.08.05_TheLeedsMercury	31794
1809.08.05_TheLeedsMercury_0003	8776	1809.08.05_TheLeedsMercury	31794
1809.08.05_TheLeedsMercury_0004	8129	1809.08.05_TheLeedsMercury	31794
1809.08.05_TheMorningChronicle_0001	5885	1809.08.05_TheMorningChronicle	21990
1809.08.05_TheMorningChronicle_0002	5363	1809.08.05_TheMorningChronicle	21990
1809.08.05_TheMorningChronicle_0003	4902	1809.08.05_TheMorningChronicle	21990
1809.08.05_TheMorningChronicle_0004	5840	1809.08.05_TheMorningChronicle	21990
1809.08.05_Times_0001	6618	1809.08.05_Times	26104
1809.08.05_Times_0002	7105	1809.08.05_Times	26104
1809.08.05_Times_0003	5639	1809.08.05_Times	26104
1809.08.05_Times_0004	6742	1809.08.05_Times	26104
1809.08.06_TheExaminer_0001	954	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0002	1083	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0003	1362	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0004	1024	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0005	1102	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0006	1372	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0007	1198	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0008	1153	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0009	1205	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0010	1183	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0011	1664	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0012	1569	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0013	1404	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0014	1768	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0015	1687	1809.08.06_TheExaminer	21122
1809.08.06_TheExaminer_0016	1394	1809.08.06_TheExaminer	21122
1809.08.07_CaledonianMercury_0001	6190	1809.08.07_CaledonianMercury	26162
1809.08.07_CaledonianMercury_0002	6244	1809.08.07_CaledonianMercury	26162
1809.08.07_CaledonianMercury_0003	6444	1809.08.07_CaledonianMercury	26162
1809.08.07_CaledonianMercury_0004	7284	1809.08.07_CaledonianMercury	26162
1809.08.07_HampshireTelegraphandSussexChronicleetc_0001	6705	1809.08.07_HampshireTelegraphandSussexChronicleetc	29801
1809.08.07_HampshireTelegraphandSussexChronicleetc_0002	7434	1809.08.07_HampshireTelegraphandSussexChronicleetc	29801
1809.08.07_HampshireTelegraphandSussexChronicleetc_0003	7488	1809.08.07_HampshireTelegraphandSussexChronicleetc	29801
1809.08.07_HampshireTelegraphandSussexChronicleetc_0004	8174	1809.08.07_HampshireTelegraphandSussexChronicleetc	29801
1809.08.07_TheMorningChronicle_0001	5718	1809.08.07_TheMorningChronicle	21323
1809.08.07_TheMorningChronicle_0002	4739	1809.08.07_TheMorningChronicle	21323
1809.08.07_TheMorningChronicle_0003	5349	1809.08.07_TheMorningChronicle	21323
1809.08.07_TheMorningChronicle_0004	5517	1809.08.07_TheMorningChronicle	21323
1809.08.07_Times_0001	7202	1809.08.07_Times	26789
1809.08.07_Times_0002	7008	1809.08.07_Times	26789
1809.08.07_Times_0003	5663	1809.08.07_Times	26789
1809.08.07_Times_0004	6916	1809.08.07_Times	26789
1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser_0001	4944	1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser	23735
1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser_0002	5509	1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser	23735
1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser_0003	6027	1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser	23735
1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser_0004	7255	1809.08.08_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser	23735
1809.08.08_TheMorningChronicle_0001	4864	1809.08.08_TheMorningChronicle	17912
1809.08.08_TheMorningChronicle_0002	4480	1809.08.08_TheMorningChronicle	17912
1809.08.08_TheMorningChronicle_0003	3696	1809.08.08_TheMorningChronicle	17912
1809.08.08_TheMorningChronicle_0004	4872	1809.08.08_TheMorningChronicle	17912
1809.08.08_Times_0001	5313	1809.08.08_Times	19734
1809.08.08_Times_0002	4816	1809.08.08_Times	19734
1809.08.08_Times_0003	4110	1809.08.08_Times	19734
1809.08.08_Times_0004	5495	1809.08.08_Times	19734
1809.08.09_TheAberdeenJournal_0001	6306	1809.08.09_TheAberdeenJournal	28075
1809.08.09_TheAberdeenJournal_0002	7655	1809.08.09_TheAberdeenJournal	28075
1809.08.09_TheAberdeenJournal_0003	6929	1809.08.09_TheAberdeenJournal	28075
1809.08.09_TheAberdeenJournal_0004	7185	1809.08.09_TheAberdeenJournal	28075
1809.08.09_TheMorningChronicle_0001	4384	1809.08.09_TheMorningChronicle	20710
1809.08.09_TheMorningChronicle_0002	5097	1809.08.09_TheMorningChronicle	20710
1809.08.09_TheMorningChronicle_0003	5056	1809.08.09_TheMorningChronicle	20710
1809.08.09_TheMorningChronicle_0004	6173	1809.08.09_TheMorningChronicle	20710
1809.08.09_Times_0001	5228	1809.08.09_Times	19975
1809.08.09_Times_0002	4511	1809.08.09_Times	19975
1809.08.09_Times_0003	5008	1809.08.09_Times	19975
1809.08.09_Times_0004	5228	1809.08.09_Times	19975
1809.08.10_CaledonianMercury_0001	6219	1809.08.10_CaledonianMercury	24903
1809.08.10_CaledonianMercury_0002	5846	1809.08.10_CaledonianMercury	24903
1809.08.10_CaledonianMercury_0003	5345	1809.08.10_CaledonianMercury	24903
1809.08.10_CaledonianMercury_0004	7493	1809.08.10_CaledonianMercury	24903
1809.08.10_TheDerbyMercury_0001	5781	1809.08.10_TheDerbyMercury	24073
1809.08.10_TheDerbyMercury_0002	5806	1809.08.10_TheDerbyMercury	24073
1809.08.10_TheDerbyMercury_0003	5755	1809.08.10_TheDerbyMercury	24073
1809.08.10_TheDerbyMercury_0004	6731	1809.08.10_TheDerbyMercury	24073
1809.08.10_TheMorningChronicle_0001	5563	1809.08.10_TheMorningChronicle	21521
1809.08.10_TheMorningChronicle_0002	5355	1809.08.10_TheMorningChronicle	21521
1809.08.10_TheMorningChronicle_0003	4828	1809.08.10_TheMorningChronicle	21521
1809.08.10_TheMorningChronicle_0004	5775	1809.08.10_TheMorningChronicle	21521
1809.08.10_Times_0001	7907	1809.08.10_Times	20176
1809.08.10_Times_0002	2383	1809.08.10_Times	20176
1809.08.10_Times_0003	4786	1809.08.10_Times	20176
1809.08.10_Times_0004	5100	1809.08.10_Times	20176
1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001	6535	1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	29545
1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	7008	1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	29545
1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	8453	1809.08.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	29545
