1822.10.02_Times	0.161632
1822.10.04_Times	0.858412
1822.10.05_Times	0.705747
1822.10.07_Times	0.943549
1822.11.06_Times	0.968035
1822.11.07_Times	0.815590
1822.11.09_Times	0.708145
1822.11.11_Times	0.624008
1822.11.13_Times	0.324415
1822.11.14_Times	0.387318
1822.11.15_Times	0.672620
1822.11.16_Times	0.676351
1822.11.18_Times	0.510192
4_Times
1822.10.25_Times
1822.10.25_Times
1822.10.26_Times
1822.10.28_Times
1822.10.28_Times
1822.10.29_Times
1822.10.30_Times
1822.10.31_Times
1822.11.01_Times
1822.11.02_Times
1822.11.04_Times
1822.11.05_Times
1822.11.05_Times
1822.11.08_Times
1822.11.12_Times
1822.11.19_Times
