1819.07.02_Times	0.175162
1819.07.03_Times	0.329300
1819.07.05_Times	0.670597
1819.07.05_Times	0.638957
1819.07.06_Times	0.839809
1819.07.07_Times	0.920990
1819.07.12_Times	0.808169
1819.07.16_Times	0.859680
1819.08.11_Times	0.811237
1819.08.12_Times	0.846444
1819.08.16_Times	0.761024
1819.08.18_Times	0.731924
1819.08.19_Times	0.537680
1819.08.20_Times	0.886978
1819.07.24_Times
1819.07.26_Times
1819.07.27_Times
1819.07.28_Times
1819.07.28_Times
1819.07.29_Times
1819.07.30_Times
1819.07.30_Times
1819.07.31_Times
1819.07.31_Times
1819.08.02_Times
1819.08.03_Times
1819.08.04_Times
1819.08.05_Times
1819.08.06_Times
1819.08.07_Times
1819.08.09_Times
1819.08.10_Times
1819.08.13_Times
1819.08.14_Times
1819.08.17_Times
1819.08.21_Times
