1861.01.01_LiverpoolMercury_0002	0.014353
1861.01.01_LiverpoolMercury_0003	0.006727
1861.01.01_LiverpoolMercury_0004	0.012416
1861.01.02_LiverpoolMercury_0001	0.028829
1861.01.02_LiverpoolMercury_0002	0.011948
1861.01.02_LiverpoolMercury_0003	0.013741
1861.01.03_LiverpoolMercury_0001	0.016267
1861.01.03_LiverpoolMercury_0002	0.048185
1861.01.03_LiverpoolMercury_0003	0.029601
1861.01.04_LiverpoolMercury_0003	0.044406
1861.01.04_LiverpoolMercury_0006	0.009853
1861.01.04_LiverpoolMercury_0008	0.029602
1861.01.05_LiverpoolMercury_0002	0.014810
1861.01.05_LiverpoolMercury_0003	0.035784
1861.01.05_LiverpoolMercury_0004	0.012295
1861.01.07_LiverpoolMercury_0002	0.027045
1861.01.07_LiverpoolMercury_0003	0.018189
1861.01.08_LiverpoolMercury_0002	0.029196
1861.01.08_LiverpoolMercury_0003	0.054639
1861.01.09_LiverpoolMercury_0002	0.009626
1861.01.09_LiverpoolMercury_0003	0.039988
1861.01.10_LiverpoolMercury_0002	0.060917
1861.01.10_LiverpoolMercury_0003	0.008801
1861.01.10_LiverpoolMercury_0004	0.024343
1861.01.11_LiverpoolMercury_0001	0.038556
1861.01.11_LiverpoolMercury_0003	0.070757
1861.01.11_LiverpoolMercury_0004	0.011772
1861.01.11_LiverpoolMercury_0006	0.012247
1861.01.11_LiverpoolMercury_0007	0.054073
1861.01.11_LiverpoolMercury_0008	0.039507
1861.01.12_LiverpoolMercury_0001	0.014768
1861.01.12_LiverpoolMercury_0002	0.010490
1861.01.12_LiverpoolMercury_0003	0.008214
1861.01.12_LiverpoolMercury_0004	0.022247
1861.01.14_LiverpoolMercury_0002	0.008040
1861.01.14_LiverpoolMercury_0003	0.057543
1861.01.14_LiverpoolMercury_0004	0.017818
1861.01.15_LiverpoolMercury_0002	0.017351
1861.01.15_LiverpoolMercury_0003	0.014493
1861.01.16_LiverpoolMercury_0001	0.014239
1861.01.16_LiverpoolMercury_0002	0.014157
1861.01.16_LiverpoolMercury_0003	0.009878
1861.01.16_LiverpoolMercury_0004	0.015387
1861.01.17_LiverpoolMercury_0002	0.012675
1861.01.17_LiverpoolMercury_0003	0.014135
1861.01.18_LiverpoolMercury_0001	0.067273
1861.01.18_LiverpoolMercury_0003	0.038442
1861.01.18_LiverpoolMercury_0004	0.010443
1861.01.18_LiverpoolMercury_0006	0.013598
1861.01.18_LiverpoolMercury_0007	0.082082
1861.01.18_LiverpoolMercury_0008	0.017450
1861.01.19_LiverpoolMercury_0001	0.021361
1861.01.19_LiverpoolMercury_0002	0.013281
1861.01.19_LiverpoolMercury_0003	0.008498
1861.01.19_LiverpoolMercury_0004	0.013659
1861.01.21_LiverpoolMercury_0001	0.109916
1861.01.21_LiverpoolMercury_0002	0.008272
1861.01.21_LiverpoolMercury_0003	0.024850
1861.01.21_LiverpoolMercury_0004	0.034396
1861.01.22_LiverpoolMercury_0002	0.016808
1861.01.22_LiverpoolMercury_0003	0.041294
1861.01.22_LiverpoolMercury_0004	0.104195
1861.01.23_LiverpoolMercury_0001	0.088561
1861.01.23_LiverpoolMercury_0002	0.008056
1861.01.23_LiverpoolMercury_0003	0.022697
1861.01.23_LiverpoolMercury_0004	0.017259
1861.01.25_LiverpoolMercury_0003	0.044324
1861.01.25_LiverpoolMercury_0004	0.015103
1861.01.25_LiverpoolMercury_0006	0.012999
1861.01.25_LiverpoolMercury_0007	0.034296
1861.01.25_LiverpoolMercury_0008	0.026978
1861.01.26_LiverpoolMercury_0001	0.014815
1861.01.26_LiverpoolMercury_0002	0.016081
1861.01.26_LiverpoolMercury_0003	0.009066
1861.01.26_LiverpoolMercury_0004	0.008298
1861.01.28_LiverpoolMercury_0002	0.013796
1861.01.28_LiverpoolMercury_0003	0.011405
1861.01.28_LiverpoolMercury_0004	0.017212
1861.01.29_LiverpoolMercury_0002	0.027014
1861.01.29_LiverpoolMercury_0003	0.032243
1861.01.29_LiverpoolMercury_0004	0.010219
1861.01.30_LiverpoolMercury_0002	0.017372
1861.01.30_LiverpoolMercury_0003	0.066117
1861.01.30_LiverpoolMercury_0004	0.038775
1861.01.31_LiverpoolMercury_0002	0.008259
1861.01.31_LiverpoolMercury_0003	0.057237
1861.01.31_LiverpoolMercury_0004	0.011571
