1850.01.11_GlasgowHerald_0001
1850.01.11_GlasgowHerald_0002
1850.01.11_GlasgowHerald_0003
1850.01.11_GlasgowHerald_0004
1850.01.14_GlasgowHerald_0001
1850.01.14_GlasgowHerald_0002
1850.01.14_GlasgowHerald_0003
1850.01.14_GlasgowHerald_0004
