1831.04.02_PrestonChronicle	0.854775
1831.04.09_PrestonChronicle	0.529381
1831.04.16_PrestonChronicle	0.242533

1831.03.19_PrestonChronicle
1831.03.19_PrestonChronicle
1831.03.26_PrestonChronicle
1831.03.26_PrestonChronicle
