1805.01.09_TheAberdeenJournal	0.136209
1805.02.13_TheAberdeenJournal	0.542748
1805.02.20_TheAberdeenJournal	0.394756
al
1805.01.30_TheAberdeenJournal
1805.01.30_TheAberdeenJournal
1805.02.06_TheAberdeenJournal
