1819.08.06_Times
1819.08.07_Times
1819.08.09_TheMorningChronicle
1819.08.09_Times
1819.08.10_Times
1819.08.11_TheMorningChronicle
1819.08.11_Times
1819.08.12_CaledonianMercury
1819.08.12_TheMorningChronicle
1819.08.12_Times
1819.08.12_Times
1819.08.13_TheMorningChronicle
1819.08.13_Times
1819.08.14_TheMorningChronicle
1819.08.14_Times
1819.08.14_Times
1819.08.16_TheBristolMercury
1819.08.16_TheMorningChronicle
1819.08.16_TheMorningChronicle
1819.08.16_Times
1819.08.16_Times
1819.08.17_Times
1819.08.18_TheMorningChronicle
1819.08.18_Times
1819.08.19_TheMorningChronicle
1819.08.19_TheMorningChronicle
1819.08.19_Times
1819.08.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1819.08.20_TheMorningChronicle
1819.08.20_TheMorningChronicle
1819.08.20_Times
1819.08.21_TheMorningChronicle
1819.08.21_Times
1819.08.22_TheExaminer
1819.08.23_CaledonianMercury
1819.08.23_TheMorningChronicle
1819.08.23_Times
1819.08.24_TheMorningChronicle
1819.08.24_Times
1819.08.25_Times
1819.08.26_TheMorningChronicle
1819.08.26_Times
1819.08.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1819.08.27_TheMorningChronicle
1819.08.27_Times
1819.08.28_CaledonianMercury
1819.08.28_CaledonianMercury
1819.08.28_TheMorningChronicle
1819.08.28_TheNewcastleCourantetc
1819.08.28_Times
1819.08.28_Times
1819.08.30_TheMorningChronicle
1819.08.30_Times
1819.08.31_TheMorningChronicle
1819.08.31_TheMorningChronicle
1819.08.31_Times
1819.09.01_Times
1819.09.02_CaledonianMercury
1819.09.02_TheMorningChronicle
1819.09.02_Times
1819.09.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1819.09.03_TheMorningChronicle
1819.09.03_Times
1819.09.04_CaledonianMercury
1819.09.04_Times
1819.09.06_TheMorningChronicle
1819.09.07_Times
1819.09.08_Times
1819.09.09_TheMorningChronicle
1819.09.09_Times
1819.09.10_Times
1819.09.11_TheMorningChronicle
1819.09.11_Times
1819.09.13_TheMorningChronicle
1819.09.13_Times
1819.09.14_Times
1819.09.15_TheMorningChronicle
1819.09.15_Times
1819.09.18_TheMorningChronicle
1819.09.18_Times
1819.09.20_TheMorningChronicle
1819.09.21_Times
