1826.04.12_TheDerbyMercury
1826.04.14_GlasgowHerald
1826.04.15_CaledonianMercury
1826.04.17_GlasgowHerald
1826.04.17_GlasgowHerald
1826.04.17_TheBristolMercury
1826.04.20_CaledonianMercury
1826.04.20_CaledonianMercury
1826.04.21_GlasgowHerald
1826.04.21_GlasgowHerald
1826.04.24_CaledonianMercury
1826.04.24_CaledonianMercury
1826.04.24_GlasgowHerald
1826.04.24_TheBristolMercury
1826.04.24_TheBristolMercury
1826.04.26_TheDerbyMercury
1826.04.26_TheDerbyMercury
1826.04.29_TheIpswichJournal
1826.04.29_TheIpswichJournal
1826.04.29_TheNewcastleCourantetc
1826.05.01_GlasgowHerald
