1829.04.11_TheNewcastleCourantetc
1829.04.18_TheNewcastleCourantetc
1829.04.18_Times
1829.04.20_Times
1829.04.21_Times
1829.04.22_TheAberdeenJournal
1829.04.22_TheDerbyMercury
1829.04.22_Times
1829.04.22_Times
1829.04.23_Times
1829.04.24_TheBelfastNews-Letter
1829.04.24_Times
1829.04.24_Times
1829.04.25_TheNewcastleCourantetc
1829.04.25_TheNewcastleCourantetc
1829.04.25_Times
1829.04.27_Times
1829.04.27_Times
1829.04.28_TheBelfastNews-Letter
1829.04.28_Times
1829.04.29_TheAberdeenJournal
1829.04.29_TheDerbyMercury
1829.04.29_TheDerbyMercury
1829.04.30_Times
1829.04.30_Times
1829.05.01_TheBelfastNews-Letter
1829.05.02_TheNewcastleCourantetc
1829.05.02_Times
1829.05.06_TheDerbyMercury
1829.05.12_TheHullPacketandHumberMercury
