1832.09.08_TheBristolMercury
1832.09.11_TheBelfastNews-Letter
1832.09.14_TheBelfastNews-Letter
1832.09.15_TheBristolMercury
1832.09.17_CaledonianMercury
1832.09.17_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.18_TheBelfastNews-Letter
1832.09.19_TheDerbyMercury
1832.09.20_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.21_TheBelfastNews-Letter
1832.09.22_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.22_PrestonChronicle
1832.09.22_TheBristolMercury
1832.09.22_TheBristolMercury
1832.09.25_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.25_TheBelfastNews-Letter
1832.09.25_TheHullPacketandHumberMercury
1832.09.25_TheHullPacketandHumberMercury
1832.09.26_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.26_TheDerbyMercury
1832.09.27_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.28_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.28_TheBelfastNews-Letter
1832.09.28_TheBelfastNews-Letter
1832.09.29_Freeman'sJournalandDailyCommercialAdvertiser
1832.09.29_PrestonChronicle
1832.09.29_TheBristolMercury
1832.09.29_TheBristolMercury
1832.10.01_Freeman'sJournalandDailyCommercialAdvertiser
1832.10.02_Freeman'sJournalandDailyCommercialAdvertiser
1832.10.02_TheBelfastNews-Letter
1832.10.03_Freeman'sJournalandDailyCommercialAdvertiser
1832.10.03_TheDerbyMercury
1832.10.05_TheBelfastNews-Letter
1832.10.06_PrestonChronicle
1832.10.06_TheBristolMercury
1832.10.10_Freeman'sJournalandDailyCommercialAdvertiser
1832.10.10_TheDerbyMercury
1832.10.12_Freeman'sJournalandDailyCommercialAdvertiser
1832.10.12_LiverpoolMercuryetc
1832.10.12_TheBelfastNews-Letter
1832.10.17_TheDerbyMercury
1832.10.19_TheBelfastNews-Letter
