1826.09.18_GlasgowHerald
1826.09.22_GlasgowHerald
1826.09.23_TheIpswichJournal
1826.09.25_GlasgowHerald
1826.09.25_TheBristolMercury
1826.09.25_Times
1826.09.25_Times
1826.09.29_GlasgowHerald
1826.10.02_TheBristolMercury
1826.10.04_TheDerbyMercury
