1815.04.15_TheLeedsMercury
1815.04.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1815.04.29_TheLeedsMercury
1815.04.29_TheLeedsMercury
1815.05.02_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1815.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1815.05.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1815.05.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
