1812.07.15_TheAberdeenJournal
1812.07.16_CaledonianMercury
1812.07.16_CaledonianMercury
1812.07.18_Jackson'sOxfordJournal
1812.07.18_Jackson'sOxfordJournal
1812.07.18_Jackson'sOxfordJournal
1812.07.18_Jackson'sOxfordJournal
1812.07.18_TheLeedsMercury
1812.07.22_TheAberdeenJournal
1812.07.23_CaledonianMercury
1812.07.23_CaledonianMercury
1812.07.23_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1812.07.25_CaledonianMercury
1812.07.25_CaledonianMercury
1812.07.25_Jackson'sOxfordJournal
1812.07.25_Jackson'sOxfordJournal
1812.07.25_TheIpswichJournal
1812.07.25_TheLeedsMercury
1812.07.25_TheLeedsMercury
1812.07.29_TheAberdeenJournal
1812.07.30_TheDerbyMercury
1812.07.30_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1812.07.30_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1812.08.01_Jackson'sOxfordJournal
1812.08.01_TheLeedsMercury
1812.08.03_CaledonianMercury
1812.08.03_CaledonianMercury
1812.08.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1812.08.15_Jackson'sOxfordJournal
