1818.10.10_TheLeedsMercury
1818.10.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1818.10.16_TheMorningChronicle
1818.10.16_TheMorningChronicle
1818.10.17_TheMorningChronicle
1818.10.20_Times
1818.10.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1818.10.23_Times
1818.10.23_Times
1818.10.23_Times
1818.10.24_TheMorningChronicle
1818.10.24_Times
1818.10.24_Times
1818.10.26_Times
1818.10.27_Times
1818.10.27_Times
1818.10.28_Times
1818.10.29_TheMorningChronicle
1818.10.29_TheMorningChronicle
1818.10.29_TheMorningChronicle
1818.10.29_Times
1818.10.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1818.10.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1818.10.30_Times
1818.10.30_Times
1818.10.31_Jackson'sOxfordJournal
1818.10.31_Times
1818.11.02_Times
1818.11.03_Times
1818.11.04_TheMorningChronicle
1818.11.04_Times
1818.11.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1818.11.10_Times
