1827.02.12_TheBristolMercury
1827.02.13_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1827.02.19_TheBristolMercury
1827.02.19_TheBristolMercury
1827.02.20_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1827.02.21_TheDerbyMercury
1827.02.21_TheDerbyMercury
1827.02.21_TheDerbyMercury
1827.02.28_TheDerbyMercury
1827.02.28_TheDerbyMercury
1827.03.03_TheIpswichJournal
1827.03.05_TheBristolMercury
1827.03.05_TheBristolMercury
1827.03.07_TheDerbyMercury
