1805.08.17_Jackson'sOxfordJournal
1805.08.17_TheIpswichJournal
1805.08.22_TheDerbyMercury
1805.08.22_TheDerbyMercury
1805.08.22_Trewman'sExeterFlyingPost
1805.08.24_CaledonianMercury
1805.08.24_CaledonianMercury
1805.08.24_Jackson'sOxfordJournal
1805.08.24_Jackson'sOxfordJournal
1805.08.24_Jackson'sOxfordJournal
1805.08.26_HampshireTelegraphandSussexChronicleetc
1805.08.28_TheAberdeenJournal
1805.08.28_TheAberdeenJournal
1805.08.28_TheMorningChronicle
1805.08.31_Jackson'sOxfordJournal
1805.08.31_Jackson'sOxfordJournal
1805.09.04_TheAberdeenJournal
1805.09.05_TheDerbyMercury
1805.09.05_TheDerbyMercury
1805.09.05_TheDerbyMercury
1805.09.05_Trewman'sExeterFlyingPost
1805.09.07_Jackson'sOxfordJournal
1805.09.11_TheAberdeenJournal
1805.09.12_TheDerbyMercury
1805.09.12_Trewman'sExeterFlyingPost
1805.09.14_Jackson'sOxfordJournal
1805.09.19_TheDerbyMercury
