1804.09.08_CaledonianMercury
1804.09.08_Jackson'sOxfordJournal
1804.09.10_CaledonianMercury
1804.09.10_CaledonianMercury
1804.09.10_HampshireTelegraphandSussexChronicleetc
1804.09.12_TheAberdeenJournal
1804.09.12_TheAberdeenJournal
1804.09.13_CaledonianMercury
1804.09.13_CaledonianMercury
1804.09.13_CaledonianMercury
1804.09.13_CaledonianMercury
1804.09.15_Jackson'sOxfordJournal
1804.09.15_Jackson'sOxfordJournal
1804.09.17_HampshireTelegraphandSussexChronicleetc
1804.09.19_TheAberdeenJournal
1804.09.19_TheAberdeenJournal
1804.09.22_Jackson'sOxfordJournal
1804.09.22_Jackson'sOxfordJournal
1804.09.24_CaledonianMercury
1804.09.24_CaledonianMercury
1804.09.24_HampshireTelegraphandSussexChronicleetc
1804.09.29_Jackson'sOxfordJournal
1804.10.01_HampshireTelegraphandSussexChronicleetc
1804.10.06_Jackson'sOxfordJournal
