1805.02.20_TheAberdeenJournal
1805.02.27_TheAberdeenJournal
1805.02.27_TheAberdeenJournal
1805.03.02_Jackson'sOxfordJournal
1805.03.04_CaledonianMercury
1805.03.06_TheAberdeenJournal
1805.03.13_TheAberdeenJournal
