1820.12.09_Jackson'sOxfordJournal
1820.12.20_Times
1820.12.23_Times
1820.12.25_Times
1820.12.26_Times
1820.12.26_Times
1820.12.30_Jackson'sOxfordJournal
1820.12.30_Jackson'sOxfordJournal
1820.12.30_Jackson'sOxfordJournal
