1828.07.10_Times
1828.07.12_TheNewcastleCourantetc
1828.07.12_TheNewcastleCourantetc
1828.07.14_Times
1828.07.16_TheDerbyMercury
1828.07.19_TheNewcastleCourantetc
1828.07.19_TheNewcastleCourantetc
1828.07.21_Times
1828.07.21_Times
1828.07.22_Times
1828.07.22_Times
1828.07.23_TheDerbyMercury
1828.07.23_TheDerbyMercury
1828.07.25_TheBelfastNews-Letter
1828.07.25_TheBelfastNews-Letter
1828.07.25_TheBelfastNews-Letter
1828.07.26_TheNewcastleCourantetc
1828.07.29_TheBelfastNews-Letter
1828.07.29_TheMorningChronicle
1828.07.29_Times
1828.07.30_TheDerbyMercury
1828.07.31_TheMorningChronicle
1828.07.31_TheMorningChronicle
1828.07.31_Times
1828.08.01_TheBelfastNews-Letter
1828.08.01_Times
1828.08.06_TheDerbyMercury
1828.08.13_TheDerbyMercury
