1826.06.05_GlasgowHerald
1826.06.12_GlasgowHerald
1826.06.14_TheDerbyMercury
1826.06.19_GlasgowHerald
1826.06.21_TheDerbyMercury
1826.06.26_GlasgowHerald
1826.06.28_TheDerbyMercury
1826.06.29_CaledonianMercury
1826.06.30_GlasgowHerald
1826.07.01_TheIpswichJournal
1826.07.03_GlasgowHerald
1826.07.03_TheBristolMercury
1826.07.03_TheBristolMercury
1826.07.05_TheDerbyMercury
1826.07.07_GlasgowHerald
