1822.12.11_TheMorningChronicle
1822.12.13_Times
1822.12.14_TheIpswichJournal
1822.12.14_Times
1822.12.16_Times
1822.12.16_Times
1822.12.17_TheMorningChronicle
1822.12.17_TheMorningChronicle
1822.12.18_TheMorningChronicle
1822.12.19_Times
1822.12.20_GlasgowHerald
1822.12.20_TheMorningChronicle
1822.12.20_Times
1822.12.21_Jackson'sOxfordJournal
1822.12.21_TheMorningChronicle
1822.12.23_GlasgowHerald
1822.12.25_TheMorningChronicle
1822.12.25_TheMorningChronicle
1822.12.27_TheMorningChronicle
1822.12.27_Times
1822.12.28_Jackson'sOxfordJournal
1822.12.28_TheMorningChronicle
1822.12.28_Times
1822.12.30_Times
1822.12.30_Times
1822.12.31_TheMorningChronicle
1822.12.31_Times
1822.12.31_Times
1822.12.31_Times
1823.01.01_Times
1823.01.04_TheIpswichJournal
1823.01.06_TheMorningChronicle
1823.01.07_TheMorningChronicle
