1819.06.08_TheMorningChronicle
1819.06.09_TheMorningChronicle
1819.06.10_TheMorningChronicle
1819.06.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1819.06.12_TheMorningChronicle
1819.06.12_TheNewcastleCourantetc
1819.06.12_TheNewcastleCourantetc
1819.06.14_TheMorningChronicle
1819.06.14_TheMorningChronicle
1819.06.15_TheMorningChronicle
1819.06.16_TheMorningChronicle
1819.06.16_TheMorningChronicle
1819.06.17_TheMorningChronicle
1819.06.17_Times
1819.06.17_Times
1819.06.18_TheMorningChronicle
1819.06.19_TheMorningChronicle
1819.06.19_TheNewcastleCourantetc
1819.06.21_CaledonianMercury
1819.06.21_TheMorningChronicle
1819.06.22_TheMorningChronicle
1819.06.22_Times
1819.06.22_Times
1819.06.22_Times
1819.06.23_TheMorningChronicle
1819.06.23_Times
1819.06.24_TheMorningChronicle
1819.06.24_Times
1819.06.25_TheMorningChronicle
1819.06.25_Times
1819.06.25_Times
1819.06.26_TheMorningChronicle
1819.06.26_TheNewcastleCourantetc
1819.06.26_TheNewcastleCourantetc
1819.06.26_Times
1819.06.26_Times
1819.06.28_TheMorningChronicle
1819.06.28_Times
1819.06.28_Times
1819.06.29_TheMorningChronicle
1819.06.29_Times
1819.06.29_Times
1819.06.30_TheMorningChronicle
1819.06.30_Times
1819.07.01_TheMorningChronicle
1819.07.01_Times
1819.07.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1819.07.02_TheMorningChronicle
1819.07.02_Times
1819.07.03_TheMorningChronicle
1819.07.03_Times
1819.07.05_TheMorningChronicle
1819.07.05_Times
1819.07.06_TheMorningChronicle
1819.07.06_Times
1819.07.07_TheMorningChronicle
1819.07.07_Times
1819.07.08_TheMorningChronicle
1819.07.08_Times
1819.07.09_TheMorningChronicle
1819.07.09_Times
1819.07.10_TheMorningChronicle
1819.07.10_Times
1819.07.12_TheMorningChronicle
1819.07.13_TheMorningChronicle
1819.07.15_TheMorningChronicle
1819.07.17_Times
1819.07.19_TheMorningChronicle
