1825.02.09_TheDerbyMercury
1825.02.16_TheDerbyMercury
1825.02.16_TheDerbyMercury
1825.02.23_TheDerbyMercury
1825.02.26_TheIpswichJournal
1825.02.26_TheIpswichJournal
1825.02.28_TheBristolMercury
1825.03.02_TheDerbyMercury
1825.03.03_CaledonianMercury
