1802.04.08_Trewman'sExeterFlyingPost
1802.04.17_Jackson'sOxfordJournal
1802.04.17_Jackson'sOxfordJournal
1802.04.22_Trewman'sExeterFlyingPost
1802.04.24_Jackson'sOxfordJournal
1802.04.24_TheIpswichJournal
1802.04.28_TheAberdeenJournal
1802.04.28_TheAberdeenJournal
1802.05.01_Jackson'sOxfordJournal
1802.05.01_Jackson'sOxfordJournal
1802.05.01_Jackson'sOxfordJournal
