1823.08.11_TheBristolMercury
1823.08.11_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1823.08.16_TheIpswichJournal
1823.08.16_TheIpswichJournal
1823.08.18_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1823.08.18_Times
1823.08.20_TheDerbyMercury
1823.08.20_TheDerbyMercury
1823.08.21_Times
1823.08.23_TheIpswichJournal
1823.08.23_TheIpswichJournal
1823.08.25_TheBristolMercury
1823.08.25_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1823.08.25_Times
1823.08.26_Times
1823.08.27_TheDerbyMercury
1823.08.28_Times
1823.08.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1823.08.30_TheIpswichJournal
1823.08.30_TheIpswichJournal
1823.09.01_TheBristolMercury
1823.09.01_TheBristolMercury
1823.09.01_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1823.09.03_TheDerbyMercury
1823.09.06_TheLeedsMercury
1823.09.10_TheDerbyMercury
