1809.12.16_Jackson'sOxfordJournal
1809.12.23_Jackson'sOxfordJournal
1809.12.28_TheDerbyMercury
1809.12.30_Jackson'sOxfordJournal
1809.12.30_Jackson'sOxfordJournal
1810.01.04_TheDerbyMercury
1810.01.04_TheDerbyMercury
1810.01.06_Jackson'sOxfordJournal
1810.01.06_Jackson'sOxfordJournal
1810.01.11_TheDerbyMercury
1810.01.18_TheDerbyMercury
1810.01.20_Jackson'sOxfordJournal
