1827.08.11_TheIpswichJournal
1827.08.11_TheNewcastleCourantetc
1827.08.11_TheNewcastleCourantetc
1827.08.18_TheIpswichJournal
1827.08.20_TheBristolMercury
1827.08.27_TheBristolMercury
1827.09.01_TheNewcastleCourantetc
