1815.02.23_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1815.02.28_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1815.02.28_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1815.03.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1815.03.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
