1801.09.10_Trewman'sExeterFlyingPost
1801.09.12_Jackson'sOxfordJournal
1801.09.14_MorningChronicle
1801.09.16_MorningChronicle
1801.09.16_Times
1801.09.16_Times
1801.09.17_CaledonianMercury
1801.09.17_TheDerbyMercury
1801.09.17_Trewman'sExeterFlyingPost
1801.09.17_Trewman'sExeterFlyingPost
1801.09.19_CaledonianMercury
1801.09.19_CaledonianMercury
1801.09.19_Jackson'sOxfordJournal
1801.09.19_TheIpswichJournal
1801.09.21_CaledonianMercury
1801.09.23_MorningChronicle
1801.09.24_CaledonianMercury
1801.09.24_MorningChronicle
1801.09.24_TheDerbyMercury
1801.09.24_TheDerbyMercury
1801.09.24_Trewman'sExeterFlyingPost
1801.09.24_Trewman'sExeterFlyingPost
1801.09.26_Jackson'sOxfordJournal
1801.09.26_MorningChronicle
1801.09.26_MorningChronicle
1801.09.26_TheIpswichJournal
1801.09.28_MorningChronicle
1801.09.30_MorningChronicle
1801.10.01_TheDerbyMercury
1801.10.01_Trewman'sExeterFlyingPost
1801.10.03_Jackson'sOxfordJournal
1801.10.03_MorningChronicle
1801.10.05_CaledonianMercury
1801.10.06_MorningChronicle
1801.10.09_MorningChronicle
1801.10.14_MorningChronicle
1801.10.15_Trewman'sExeterFlyingPost
1801.10.16_MorningChronicle
