1826.05.13_TheIpswichJournal
1826.05.15_GlasgowHerald
1826.05.15_TheBristolMercury
1826.05.15_TheBristolMercury
1826.05.15_TheBristolMercury
1826.05.19_GlasgowHerald
1826.05.19_GlasgowHerald
1826.05.19_GlasgowHerald
1826.05.20_TheIpswichJournal
1826.05.20_TheIpswichJournal
1826.05.20_TheLeedsMercury
1826.05.22_GlasgowHerald
1826.05.22_TheBristolMercury
1826.05.26_GlasgowHerald
1826.05.26_GlasgowHerald
1826.05.27_CaledonianMercury
1826.05.27_CaledonianMercury
1826.05.29_CaledonianMercury
1826.05.29_CaledonianMercury
1826.05.29_TheBristolMercury
1826.05.30_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1826.06.01_CaledonianMercury
1826.06.02_GlasgowHerald
1826.06.02_GlasgowHerald
1826.06.03_TheIpswichJournal
1826.06.03_TheIpswichJournal
1826.06.05_CaledonianMercury
1826.06.07_TheDerbyMercury
