1836.06.06_CaledonianMercury
1836.06.08_TheDerbyMercury
1836.06.11_TheBristolMercury
1836.06.11_TheBristolMercury
1836.06.11_TheIpswichJournal
1836.06.11_TheNewcastleCourantetc
1836.06.13_HampshireTelegraphandSussexChronicleetc
1836.06.15_TheDerbyMercury
1836.06.15_TheDerbyMercury
1836.06.15_TheDerbyMercury
1836.06.17_TheHullPacket
1836.06.18_TheBristolMercury
1836.06.18_TheBristolMercury
1836.06.18_TheIpswichJournal
1836.06.18_TheManchesterTimesandGazette
1836.06.18_TheNewcastleCourantetc
1836.06.19_TheExaminer
1836.06.19_TheExaminer
1836.06.22_TheDerbyMercury
1836.06.22_Times
1836.06.22_Times
1836.06.23_CaledonianMercury
1836.06.24_TheHullPacket
1836.06.25_PrestonChronicle
1836.06.25_TheBristolMercury
1836.06.25_TheIpswichJournal
1836.06.25_TheIpswichJournal
1836.06.25_TheManchesterTimesandGazette
1836.06.25_TheNewcastleCourantetc
1836.06.25_TheNewcastleCourantetc
1836.06.25_TheNewcastleCourantetc
1836.06.27_HampshireTelegraphandSussexChronicleetc
1836.06.28_NorthWalesChronicle
1836.06.28_TheBelfastNews-Letter
1836.06.29_TheDerbyMercury
1836.06.29_TheDerbyMercury
1836.07.01_TheHullPacket
1836.07.02_PrestonChronicle
1836.07.02_TheBristolMercury
1836.07.02_TheIpswichJournal
1836.07.05_BrightonPatriotandSouthofEnglandFreePress
1836.07.05_NorthWalesChronicle
1836.07.06_TheDerbyMercury
1836.07.08_TheBelfastNews-Letter
1836.07.08_TheHullPacket
1836.07.09_TheIpswichJournal
1836.07.12_BrightonPatriotandSouthofEnglandFreePress
1836.07.12_NorthWalesChronicle
1836.07.13_TheDerbyMercury
1836.07.15_TheHullPacket
1836.07.16_TheBristolMercury
1836.07.17_TheExaminer
