1801.05.12_TheHullPacket
1801.05.14_MorningChronicle
1801.05.15_MorningChronicle
1801.05.16_Jackson'sOxfordJournal
1801.05.16_TheIpswichJournal
1801.05.19_TheHullPacket
1801.05.19_TheHullPacket
1801.05.21_Trewman'sExeterFlyingPost
1801.05.21_Trewman'sExeterFlyingPost
1801.05.23_TheIpswichJournal
1801.05.23_TheIpswichJournal
1801.05.25_TheAberdeenJournal
1801.05.28_MorningChronicle
1801.05.30_Jackson'sOxfordJournal
1801.06.06_TheIpswichJournal
