1820.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1820.06.10_Jackson'sOxfordJournal
1820.06.10_Jackson'sOxfordJournal
1820.06.10_TheNewcastleCourantetc
1820.06.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1820.06.17_Jackson'sOxfordJournal
1820.06.19_GlasgowHerald
1820.06.19_GlasgowHerald
1820.06.24_Jackson'sOxfordJournal
1820.06.24_Jackson'sOxfordJournal
1820.06.24_Jackson'sOxfordJournal
1820.06.26_TheBristolMercury
1820.06.26_TheBristolMercury
1820.06.26_TheBristolMercury
1820.06.30_GlasgowHerald
1820.06.30_GlasgowHerald
1820.07.01_Jackson'sOxfordJournal
1820.07.01_Jackson'sOxfordJournal
1820.07.01_Jackson'sOxfordJournal
