1837.01.02_TheChampionandWeeklyHerald
1837.01.07_CaledonianMercury
1837.01.07_CaledonianMercury
1837.01.09_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.09_TheChampionandWeeklyHerald
1837.01.10_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.10_NorthWalesChronicle
1837.01.11_TheDerbyMercury
1837.01.11_TheDerbyMercury
1837.01.12_CaledonianMercury
1837.01.12_CaledonianMercury
1837.01.12_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.13_TheHullPacket
1837.01.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.14_TheBristolMercury
1837.01.16_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.16_TheChampionandWeeklyHerald
1837.01.16_TheChampionandWeeklyHerald
1837.01.17_BrightonPatriotandSouthofEnglandFreePress
1837.01.17_BrightonPatriotandSouthofEnglandFreePress
1837.01.18_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.18_TheDerbyMercury
1837.01.19_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.20_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.20_TheHullPacket
1837.01.20_TheNewcastleCourantetc
1837.01.21_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.21_Jackson'sOxfordJournal
1837.01.21_PrestonChronicle
1837.01.21_PrestonChronicle
1837.01.21_TheBristolMercury
1837.01.21_TheBristolMercury
1837.01.21_TheIpswichJournal
1837.01.21_TheManchesterTimesandGazette
1837.01.22_TheChampionandWeeklyHerald
1837.01.22_TheChampionandWeeklyHerald
1837.01.23_CaledonianMercury
1837.01.23_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.23_TheChampionandWeeklyHerald
1837.01.23_TheChampionandWeeklyHerald
1837.01.24_BrightonPatriotandSouthofEnglandFreePress
1837.01.24_BrightonPatriotandSouthofEnglandFreePress
1837.01.24_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.25_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.25_TheDerbyMercury
1837.01.26_CaledonianMercury
1837.01.26_CaledonianMercury
1837.01.26_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.27_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.27_TheHullPacket
1837.01.27_TheHullPacket
1837.01.28_CaledonianMercury
1837.01.28_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.28_Jackson'sOxfordJournal
1837.01.28_PrestonChronicle
1837.01.28_PrestonChronicle
1837.01.28_TheBristolMercury
1837.01.28_TheIpswichJournal
1837.01.28_TheIpswichJournal
1837.01.30_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.30_TheChampionandWeeklyHerald
1837.01.31_BrightonPatriotandSouthofEnglandFreePress
1837.01.31_Freeman'sJournalandDailyCommercialAdvertiser
1837.01.31_NorthWalesChronicle
1837.02.01_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.01_TheDerbyMercury
1837.02.02_CaledonianMercury
1837.02.02_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.03_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.03_TheHullPacket
1837.02.04_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.04_Jackson'sOxfordJournal
1837.02.04_TheBristolMercury
1837.02.04_TheIpswichJournal
1837.02.06_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.07_BrightonPatriotandSouthofEnglandFreePress
1837.02.09_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.10_TheHullPacket
1837.02.11_TheBristolMercury
1837.02.14_BrightonPatriotandSouthofEnglandFreePress
1837.02.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.15_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.16_Freeman'sJournalandDailyCommercialAdvertiser
1837.02.17_TheHullPacket
1837.02.17_TheNewcastleCourantetc
1837.02.18_TheBristolMercury
1837.02.21_BrightonPatriotandSouthofEnglandFreePress
