1836.10.02_TheChampion
1836.10.03_TheChampion
1836.10.08_PrestonChronicle
1836.10.09_TheChampion
1836.10.09_TheChampion
1836.10.10_TheChampion
1836.10.11_BrightonPatriotandSouthofEnglandFreePress
1836.10.12_TheDerbyMercury
1836.10.14_TheHullPacket
1836.10.15_PrestonChronicle
1836.10.15_TheIpswichJournal
1836.10.15_TheNewcastleCourantetc
1836.10.16_TheExaminer
1836.10.17_CaledonianMercury
1836.10.17_TheChampion
1836.10.18_BrightonPatriotandSouthofEnglandFreePress
1836.10.19_TheDerbyMercury
1836.10.21_TheHullPacket
1836.10.23_TheChampion
1836.10.24_CaledonianMercury
1836.10.24_TheChampion
1836.10.25_BrightonPatriotandSouthofEnglandFreePress
1836.10.25_BrightonPatriotandSouthofEnglandFreePress
1836.10.26_TheDerbyMercury
1836.10.28_TheHullPacket
1836.10.28_TheHullPacket
1836.10.29_PrestonChronicle
1836.10.29_TheBristolMercury
1836.10.29_TheIpswichJournal
1836.10.29_TheManchesterTimesandGazette
1836.10.29_TheNewcastleCourantetc
1836.10.29_TheNewcastleCourantetc
1836.10.30_TheChampion
1836.10.30_TheChampion
1836.10.31_TheChampion
1836.11.01_BrightonPatriotandSouthofEnglandFreePress
1836.11.02_TheDerbyMercury
1836.11.04_TheHullPacket
1836.11.05_TheBristolMercury
1836.11.05_TheIpswichJournal
1836.11.05_TheManchesterTimesandGazette
1836.11.05_TheNewcastleCourantetc
1836.11.08_BrightonPatriotandSouthofEnglandFreePress
1836.11.11_TheHullPacket
1836.11.12_TheBristolMercury
1836.11.12_TheNewcastleCourantetc
1836.11.15_BrightonPatriotandSouthofEnglandFreePress
1836.11.18_TheHullPacket
1836.11.19_TheBristolMercury
1836.11.19_TheIpswichJournal
