1824.03.10_TheDerbyMercury
1824.03.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1824.03.13_TheIpswichJournal
1824.03.13_TheIpswichJournal
1824.03.13_TheNewcastleCourantetc
1824.03.17_TheDerbyMercury
1824.03.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1824.03.24_TheDerbyMercury
1824.03.25_CaledonianMercury
1824.03.25_Times
1824.03.25_Times
1824.03.25_Times
1824.03.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1824.03.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1824.03.27_TheIpswichJournal
1824.03.27_TheNewcastleCourantetc
1824.03.29_TheBristolMercury
1824.03.31_TheDerbyMercury
1824.03.31_TheDerbyMercury
1824.04.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1824.04.03_TheIpswichJournal
1824.04.03_TheNewcastleCourantetc
1824.04.07_TheDerbyMercury
1824.04.14_TheDerbyMercury
