1832.05.11_TheBelfastNews-Letter
1832.05.15_TheBelfastNews-Letter
1832.05.18_TheBelfastNews-Letter
1832.05.18_TheBelfastNews-Letter
1832.05.19_PrestonChronicle
1832.05.21_Times
1832.05.21_Times
1832.05.22_TheBelfastNews-Letter
1832.05.22_TheHullPacketandHumberMercury
1832.05.25_LiverpoolMercuryetc
1832.05.25_TheBelfastNews-Letter
1832.05.25_TheBelfastNews-Letter
1832.05.26_PrestonChronicle
1832.05.29_TheBelfastNews-Letter
1832.05.29_TheHullPacketandHumberMercury
1832.05.29_TheHullPacketandHumberMercury
1832.05.30_TheDerbyMercury
1832.06.01_TheBelfastNews-Letter
1832.06.02_PrestonChronicle
1832.06.05_TheBelfastNews-Letter
1832.06.05_TheHullPacketandHumberMercury
1832.06.06_TheDerbyMercury
1832.06.13_TheDerbyMercury
