1832.02.07_TheBristolMercury
1832.02.08_TheDerbyMercury
1832.02.08_TheDerbyMercury
1832.02.11_PrestonChronicle
1832.02.11_PrestonChronicle
1832.02.15_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.15_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.15_TheDerbyMercury
1832.02.15_TheMorningChronicle
1832.02.18_PrestonChronicle
1832.02.18_TheNewcastleCourantetc
1832.02.20_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.21_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.21_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.21_TheHullPacketandHumberMercury
1832.02.22_TheDerbyMercury
1832.02.22_TheDerbyMercury
1832.02.23_Times
1832.02.23_Times
1832.02.23_Times
1832.02.24_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.24_LiverpoolMercuryetc
1832.02.24_TheBelfastNews-Letter
1832.02.25_Cobbett'sWeeklyPoliticalRegister
1832.02.25_Freeman'sJournalandDailyCommercialAdvertiser
1832.02.25_PrestonChronicle
1832.02.26_TheExaminer
1832.02.28_TheBristolMercury
1832.02.28_TheHullPacketandHumberMercury
1832.02.29_TheDerbyMercury
1832.03.02_TheBelfastNews-Letter
1832.03.03_PrestonChronicle
1832.03.03_TheNewcastleCourantetc
1832.03.06_TheBelfastNews-Letter
1832.03.07_TheDerbyMercury
1832.03.09_TheBelfastNews-Letter
1832.03.10_TheNewcastleCourantetc
1832.03.14_TheDerbyMercury
1832.03.14_TheDerbyMercury
1832.03.16_LiverpoolMercuryetc
