1800.08.11_TheAberdeenJournal
1800.08.21_TheDerbyMercury
1800.08.21_TheDerbyMercury
1800.08.23_Jackson'sOxfordJournal
1800.08.23_Jackson'sOxfordJournal
1800.08.23_Jackson'sOxfordJournal
1800.08.23_TheIpswichJournal
1800.08.23_TheIpswichJournal
1800.08.25_TheAberdeenJournal
1800.08.25_TheAberdeenJournal
1800.08.25_TheAberdeenJournal
1800.08.28_TheDerbyMercury
1800.08.30_TheIpswichJournal
1800.08.30_TheIpswichJournal
1800.09.01_TheAberdeenJournal
1800.09.04_Trewman'sExeterFlyingPost
1800.09.06_Jackson'sOxfordJournal
1800.09.06_TheIpswichJournal
1800.09.08_TheAberdeenJournal
1800.09.13_TheIpswichJournal
