1808.01.16_Jackson'sOxfordJournal
1808.01.18_CaledonianMercury
1808.01.18_CaledonianMercury
1808.01.21_CaledonianMercury
1808.01.21_CaledonianMercury
1808.01.21_TheDerbyMercury
1808.01.23_CaledonianMercury
1808.01.23_CaledonianMercury
1808.01.23_Jackson'sOxfordJournal
1808.01.23_Jackson'sOxfordJournal
1808.01.25_CaledonianMercury
1808.01.27_TheAberdeenJournal
1808.01.27_TheAberdeenJournal
1808.01.28_CaledonianMercury
1808.01.28_TheDerbyMercury
1808.01.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1808.01.30_CaledonianMercury
1808.01.30_Jackson'sOxfordJournal
1808.01.30_Jackson'sOxfordJournal
1808.01.30_Jackson'sOxfordJournal
1808.02.01_CaledonianMercury
1808.02.01_CaledonianMercury
1808.02.02_CaledonianMercury
1808.02.02_CaledonianMercury
1808.02.02_CaledonianMercury
1808.02.03_TheAberdeenJournal
1808.02.06_CaledonianMercury
1808.02.06_Jackson'sOxfordJournal
1808.02.06_Jackson'sOxfordJournal
1808.02.06_Jackson'sOxfordJournal
1808.02.13_CaledonianMercury
1808.02.13_Jackson'sOxfordJournal
1808.02.13_Jackson'sOxfordJournal
1808.02.20_CaledonianMercury
1808.02.20_Jackson'sOxfordJournal
