1813.08.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1813.08.20_LiverpoolMercuryetc
1813.08.20_LiverpoolMercuryetc
1813.08.24_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1813.08.24_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1813.08.24_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1813.08.25_TheAberdeenJournal
