1814.09.17_TheLeedsMercury
1814.09.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.09.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.09.22_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.09.24_TheLeedsMercury
1814.09.24_TheLeedsMercury
1814.09.27_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1814.09.27_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1814.09.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.10.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.10.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
