1806.01.09_Trewman'sExeterFlyingPost
1806.01.11_Jackson'sOxfordJournal
1806.01.11_Jackson'sOxfordJournal
1806.01.11_Jackson'sOxfordJournal
1806.01.11_TheIpswichJournal
1806.01.13_CaledonianMercury
1806.01.13_CaledonianMercury
1806.01.13_CaledonianMercury
1806.01.15_TheAberdeenJournal
1806.01.16_TheDerbyMercury
1806.01.18_CaledonianMercury
1806.01.18_Jackson'sOxfordJournal
1806.01.18_Jackson'sOxfordJournal
1806.01.18_Jackson'sOxfordJournal
1806.01.18_TheIpswichJournal
1806.01.18_TheIpswichJournal
1806.01.18_TheIpswichJournal
1806.01.18_TheNewcastleCourantetc
1806.01.20_CaledonianMercury
1806.01.20_CaledonianMercury
1806.01.20_CaledonianMercury
1806.01.23_CaledonianMercury
1806.01.23_Trewman'sExeterFlyingPost
1806.01.25_CaledonianMercury
1806.01.25_Jackson'sOxfordJournal
1806.01.25_Jackson'sOxfordJournal
1806.01.25_TheIpswichJournal
1806.01.25_TheIpswichJournal
1806.01.25_TheIpswichJournal
1806.01.25_TheNewcastleCourantetc
1806.01.25_TheNewcastleCourantetc
1806.01.27_CaledonianMercury
1806.01.29_TheAberdeenJournal
1806.01.30_CaledonianMercury
1806.01.30_Trewman'sExeterFlyingPost
1806.02.01_CaledonianMercury
1806.02.01_CaledonianMercury
1806.02.01_Jackson'sOxfordJournal
1806.02.03_CaledonianMercury
1806.02.03_CaledonianMercury
