1814.05.14_TheLeedsMercury
1814.05.21_TheLeedsMercury
1814.05.21_TheLeedsMercury
1814.05.28_TheLeedsMercury
1814.05.28_TheLeedsMercury
1814.05.30_CaledonianMercury
1814.05.30_CaledonianMercury
1814.06.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1814.06.04_TheLeedsMercury
1814.06.04_TheLeedsMercury
