1828.10.08_TheDerbyMercury
1828.10.11_TheIpswichJournal
1828.10.11_TheNewcastleCourantetc
1828.10.13_TheMorningChronicle
1828.10.13_TheMorningChronicle
1828.10.14_TheBristolMercury
1828.10.14_TheBristolMercury
1828.10.15_TheDerbyMercury
1828.10.15_TheDerbyMercury
1828.10.18_TheNewcastleCourantetc
1828.10.21_TheBristolMercury
1828.10.22_TheDerbyMercury
1828.10.22_TheDerbyMercury
1828.10.25_TheIpswichJournal
1828.10.25_TheIpswichJournal
1828.10.25_TheNewcastleCourantetc
1828.10.28_TheBelfastNews-Letter
1828.10.28_TheBelfastNews-Letter
1828.10.28_TheBristolMercury
1828.10.29_TheDerbyMercury
1828.10.29_TheDerbyMercury
1828.10.29_TheDerbyMercury
1828.11.01_TheIpswichJournal
1828.11.01_TheNewcastleCourantetc
1828.11.01_TheNewcastleCourantetc
1828.11.04_TheBelfastNews-Letter
1828.11.07_TheBelfastNews-Letter
1828.11.08_TheNewcastleCourantetc
1828.11.14_TheBelfastNews-Letter
