1821.04.19_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1821.04.26_CaledonianMercury
1821.04.26_CaledonianMercury
1821.04.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1821.04.26_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
