1836.09.10_TheBristolMercury
1836.09.13_BrightonPatriotandSouthofEnglandFreePress
1836.09.14_TheDerbyMercury
1836.09.17_TheIpswichJournal
1836.09.17_TheIpswichJournal
1836.09.17_Times
1836.09.18_TheChampion
1836.09.19_CaledonianMercury
1836.09.19_Times
1836.09.20_BrightonPatriotandSouthofEnglandFreePress
1836.09.21_TheDerbyMercury
1836.09.23_TheHullPacket
1836.09.24_TheBristolMercury
1836.09.24_TheIpswichJournal
1836.09.24_TheNewcastleCourantetc
1836.09.24_Times
1836.09.25_TheChampion
1836.09.25_TheChampion
1836.09.26_CaledonianMercury
1836.09.26_CaledonianMercury
1836.09.26_CaledonianMercury
1836.09.26_TheChampion
1836.09.27_BrightonPatriotandSouthofEnglandFreePress
1836.09.28_TheDerbyMercury
1836.09.28_Times
1836.09.29_Times
1836.09.29_Times
1836.09.30_TheHullPacket
1836.09.30_Times
1836.10.01_PrestonChronicle
1836.10.01_PrestonChronicle
1836.10.01_TheBristolMercury
1836.10.01_TheIpswichJournal
1836.10.01_TheNewcastleCourantetc
1836.10.02_TheExaminer
1836.10.03_CaledonianMercury
1836.10.03_HampshireTelegraphandSussexChronicleetc
1836.10.04_BrightonPatriotandSouthofEnglandFreePress
1836.10.05_TheDerbyMercury
1836.10.07_TheHullPacket
1836.10.08_TheBristolMercury
1836.10.08_TheIpswichJournal
1836.10.11_BrightonPatriotandSouthofEnglandFreePress
1836.10.14_TheHullPacket
1836.10.15_TheBristolMercury
1836.10.18_BrightonPatriotandSouthofEnglandFreePress
