1834.06.07_PrestonChronicle
1834.06.11_TheDerbyMercury
1834.06.11_TheDerbyMercury
1834.06.13_TheBelfastNews-Letter
1834.06.13_TheHullPacket
1834.06.14_PrestonChronicle
1834.06.14_PrestonChronicle
1834.06.14_TheBristolMercury
1834.06.14_TheBristolMercury
1834.06.14_TheIpswichJournal
1834.06.18_TheDerbyMercury
1834.06.20_LiverpoolMercuryetc
1834.06.20_TheBelfastNews-Letter
1834.06.20_TheHullPacket
1834.06.21_PrestonChronicle
1834.06.21_PrestonChronicle
1834.06.21_PrestonChronicle
1834.06.21_TheBristolMercury
1834.06.21_TheIpswichJournal
1834.06.21_TheManchesterTimesandGazette
1834.06.25_TheDerbyMercury
1834.06.25_TheDerbyMercury
1834.06.27_TheBelfastNews-Letter
1834.06.27_TheBelfastNews-Letter
1834.06.27_TheHullPacket
1834.06.28_PrestonChronicle
1834.06.28_PrestonChronicle
1834.06.28_TheBristolMercury
1834.06.28_TheIpswichJournal
1834.07.02_TheDerbyMercury
1834.07.04_TheBelfastNews-Letter
1834.07.04_TheHullPacket
1834.07.05_TheBristolMercury
1834.07.11_TheBelfastNews-Letter
1834.07.12_TheBristolMercury
1834.07.18_TheHullPacket
