1804.01.11_TheAberdeenJournal
1804.01.14_Jackson'sOxfordJournal
1804.01.14_Jackson'sOxfordJournal
1804.01.16_CaledonianMercury
1804.01.16_CaledonianMercury
1804.01.19_Trewman'sExeterFlyingPost
1804.01.21_Jackson'sOxfordJournal
1804.01.23_HampshireTelegraphandSussexChronicleetc
1804.01.23_HampshireTelegraphandSussexChronicleetc
1804.01.26_Trewman'sExeterFlyingPost
1804.01.26_Trewman'sExeterFlyingPost
1804.01.30_CaledonianMercury
1804.01.30_CaledonianMercury
1804.01.30_HampshireTelegraphandSussexChronicleetc
1804.02.06_HampshireTelegraphandSussexChronicleetc
