1837.03.05_TheChampionandWeeklyHerald
1837.03.06_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.06_TheChampionandWeeklyHerald
1837.03.08_TheDerbyMercury
1837.03.09_CaledonianMercury
1837.03.09_CaledonianMercury
1837.03.10_TheHullPacket
1837.03.10_TheNewcastleCourantetc
1837.03.11_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.11_Jackson'sOxfordJournal
1837.03.11_TheBristolMercury
1837.03.11_TheBristolMercury
1837.03.11_TheIpswichJournal
1837.03.11_TheManchesterTimesandGazette
1837.03.12_TheChampionandWeeklyHerald
1837.03.12_TheChampionandWeeklyHerald
1837.03.12_TheChampionandWeeklyHerald
1837.03.13_TheChampionandWeeklyHerald
1837.03.14_BrightonPatriotandSouthofEnglandFreePress
1837.03.14_BrightonPatriotandSouthofEnglandFreePress
1837.03.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.15_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.15_TheDerbyMercury
1837.03.17_TheHullPacket
1837.03.17_TheHullPacket
1837.03.18_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.18_Jackson'sOxfordJournal
1837.03.18_PrestonChronicle
1837.03.18_TheBristolMercury
1837.03.18_TheIpswichJournal
1837.03.18_TheIpswichJournal
1837.03.19_TheChampionandWeeklyHerald
1837.03.20_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.20_TheChampionandWeeklyHerald
1837.03.21_BrightonPatriotandSouthofEnglandFreePress
1837.03.22_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.22_TheDerbyMercury
1837.03.23_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.24_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.24_TheHullPacket
1837.03.25_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.25_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.25_PrestonChronicle
1837.03.25_TheBristolMercury
1837.03.25_TheIpswichJournal
1837.03.25_TheIpswichJournal
1837.03.26_TheChampionandWeeklyHerald
1837.03.26_TheChampionandWeeklyHerald
1837.03.27_CaledonianMercury
1837.03.27_CaledonianMercury
1837.03.27_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.27_HampshireTelegraphandSussexChronicleetc
1837.03.27_TheChampionandWeeklyHerald
1837.03.28_BrightonPatriotandSouthofEnglandFreePress
1837.03.28_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.28_TheBelfastNews-Letter
1837.03.29_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.29_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.29_TheDerbyMercury
1837.03.30_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1837.03.31_Freeman'sJournalandDailyCommercialAdvertiser
1837.03.31_TheHullPacket
1837.04.01_CaledonianMercury
1837.04.01_Jackson'sOxfordJournal
1837.04.01_Jackson'sOxfordJournal
1837.04.01_Jackson'sOxfordJournal
1837.04.01_TheBristolMercury
1837.04.01_TheBristolMercury
1837.04.01_TheIpswichJournal
1837.04.03_CaledonianMercury
1837.04.04_BrightonPatriotandSouthofEnglandFreePress
1837.04.04_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.05_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.05_TheDerbyMercury
1837.04.06_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.07_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.07_TheHullPacket
1837.04.07_TheNewcastleCourantetc
1837.04.08_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.08_PrestonChronicle
1837.04.08_TheBristolMercury
1837.04.10_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.11_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.12_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.14_TheHullPacket
1837.04.15_Freeman'sJournalandDailyCommercialAdvertiser
1837.04.15_TheBristolMercury
1837.04.18_BrightonPatriotandSouthofEnglandFreePress
