1827.10.13_TheIpswichJournal
1827.10.13_TheNewcastleCourantetc
1827.10.13_TheNewcastleCourantetc
1827.10.13_TheNewcastleCourantetc
1827.10.13_TheNewcastleCourantetc
1827.10.13_Times
1827.10.15_Times
1827.10.17_TheDerbyMercury
1827.10.17_Times
1827.10.17_Times
1827.10.20_TheNewcastleCourantetc
1827.10.20_Times
1827.10.22_Times
1827.10.22_Times
1827.10.23_Times
1827.10.23_Times
1827.10.24_TheDerbyMercury
1827.10.24_TheDerbyMercury
1827.10.24_Times
1827.10.25_Times
1827.10.25_Times
1827.10.26_Times
1827.10.26_Times
1827.10.27_TheNewcastleCourantetc
1827.10.29_TheBristolMercury
1827.10.29_TheBristolMercury
1827.10.30_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1827.10.30_Times
1827.10.31_TheDerbyMercury
1827.11.01_NorthWalesChronicle
1827.11.03_TheIpswichJournal
1827.11.03_Times
1827.11.05_TheBristolMercury
1827.11.05_Times
1827.11.10_Times
