1836.01.13_TheDerbyMercury
1836.01.16_PrestonChronicle
1836.01.16_PrestonChronicle
1836.01.16_TheBristolMercury
1836.01.16_TheBristolMercury
1836.01.16_TheIpswichJournal
1836.01.16_TheIpswichJournal
1836.01.16_TheNewcastleCourantetc
1836.01.18_HampshireTelegraphandSussexChronicleetc
1836.01.19_BrightonPatriotandLewesFreePressetc
1836.01.19_NorthWalesChronicle
1836.01.20_TheDerbyMercury
1836.01.22_TheBelfastNews-Letter
1836.01.23_TheBristolMercury
1836.01.23_TheBristolMercury
1836.01.23_TheIpswichJournal
1836.01.23_TheNewcastleCourantetc
1836.01.25_CaledonianMercury
1836.01.25_HampshireTelegraphandSussexChronicleetc
1836.01.26_NorthWalesChronicle
1836.01.27_TheDerbyMercury
1836.01.29_TheBelfastNews-Letter
1836.01.29_TheHullPacket
1836.01.29_TheHullPacket
1836.01.29_TheHullPacket
1836.01.30_TheBristolMercury
1836.01.30_TheIpswichJournal
1836.01.30_TheNewcastleCourantetc
1836.02.01_CaledonianMercury
1836.02.01_CaledonianMercury
1836.02.02_BrightonPatriotandLewesFreePressetc
1836.02.03_TheDerbyMercury
1836.02.05_TheBelfastNews-Letter
1836.02.05_TheHullPacket
1836.02.06_PrestonChronicle
1836.02.06_TheIpswichJournal
1836.02.09_NorthWalesChronicle
1836.02.10_TheDerbyMercury
1836.02.13_TheBristolMercury
1836.02.13_TheNewcastleCourantetc
1836.02.16_BrightonPatriotandLewesFreePressetc
1836.02.16_NorthWalesChronicle
1836.02.19_TheBelfastNews-Letter
