1837.09.08_TheNewcastleCourantetc
1837.09.09_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.09_Jackson'sOxfordJournal
1837.09.09_PrestonChronicle
1837.09.09_TheBristolMercury
1837.09.09_TheBristolMercury
1837.09.09_TheIpswichJournal
1837.09.11_CaledonianMercury
1837.09.11_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.12_BrightonPatriotandSouthofEnglandFreePress
1837.09.12_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.12_TheBelfastNews-Letter
1837.09.13_TheDerbyMercury
1837.09.14_CaledonianMercury
1837.09.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.15_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.15_TheHullPacket
1837.09.15_TheNewcastleCourantetc
1837.09.16_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.16_Jackson'sOxfordJournal
1837.09.16_PrestonChronicle
1837.09.16_TheBristolMercury
1837.09.16_TheBristolMercury
1837.09.18_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.19_BrightonPatriotandSouthofEnglandFreePress
1837.09.19_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.19_TheBelfastNews-Letter
1837.09.20_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.20_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.21_CaledonianMercury
1837.09.21_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.21_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1837.09.22_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.22_TheBelfastNews-Letter
1837.09.22_TheHullPacket
1837.09.22_TheHullPacket
1837.09.22_TheNewcastleCourantetc
1837.09.23_CaledonianMercury
1837.09.23_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.23_PrestonChronicle
1837.09.23_TheBristolMercury
1837.09.23_TheBristolMercury
1837.09.23_TheIpswichJournal
1837.09.23_TheLeedsMercury
1837.09.23_TheManchesterTimesandGazette
1837.09.25_CaledonianMercury
1837.09.25_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.26_BrightonPatriotandSouthofEnglandFreePress
1837.09.26_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.27_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.27_TheDerbyMercury
1837.09.28_CaledonianMercury
1837.09.28_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.28_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.29_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.29_TheBelfastNews-Letter
1837.09.29_TheHullPacket
1837.09.29_TheNewcastleCourantetc
1837.09.30_CaledonianMercury
1837.09.30_Freeman'sJournalandDailyCommercialAdvertiser
1837.09.30_Jackson'sOxfordJournal
1837.09.30_Jackson'sOxfordJournal
1837.09.30_TheBristolMercury
1837.09.30_TheIpswichJournal
1837.09.30_TheLeedsMercury
1837.09.30_TheManchesterTimesandGazette
1837.10.02_CaledonianMercury
1837.10.02_Freeman'sJournalandDailyCommercialAdvertiser
1837.10.03_BrightonPatriotandSouthofEnglandFreePress
1837.10.03_NorthWalesChronicle
1837.10.03_TheBelfastNews-Letter
1837.10.04_TheDerbyMercury
1837.10.06_Freeman'sJournalandDailyCommercialAdvertiser
1837.10.06_TheHullPacket
1837.10.06_TheNewcastleCourantetc
1837.10.07_PrestonChronicle
1837.10.07_TheBristolMercury
1837.10.07_TheIpswichJournal
1837.10.07_TheManchesterTimesandGazette
1837.10.10_BrightonPatriotandSouthofEnglandFreePress
1837.10.11_TheDerbyMercury
1837.10.13_TheBelfastNews-Letter
1837.10.13_TheHullPacket
1837.10.13_TheNewcastleCourantetc
1837.10.14_Freeman'sJournalandDailyCommercialAdvertiser
1837.10.14_PrestonChronicle
1837.10.14_TheBristolMercury
1837.10.14_TheLeedsMercury
1837.10.17_BrightonPatriotandSouthofEnglandFreePress
1837.10.18_TheDerbyMercury
1837.10.20_Freeman'sJournalandDailyCommercialAdvertiser
1837.10.20_TheBelfastNews-Letter
1837.10.20_TheHullPacket
1837.10.20_TheNewcastleCourantetc
1837.10.21_PrestonChronicle
1837.10.21_TheBristolMercury
1837.10.21_TheLeedsMercury
