1812.12.09_TheAberdeenJournal
1812.12.12_Cobbett'sWeeklyPoliticalRegister
1812.12.15_TheHullPacketandOriginalWeeklyCommercial,LiteraryandGeneralAdvertiser
1812.12.16_TheAberdeenJournal
1812.12.19_Jackson'sOxfordJournal
1812.12.19_Jackson'sOxfordJournal
1812.12.23_TheAberdeenJournal
1812.12.23_TheAberdeenJournal
1812.12.24_TheDerbyMercury
1812.12.26_Cobbett'sWeeklyPoliticalRegister
1812.12.26_Jackson'sOxfordJournal
1812.12.26_Jackson'sOxfordJournal
1812.12.30_TheAberdeenJournal
1812.12.30_TheAberdeenJournal
1813.01.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
