1836.07.09_TheIpswichJournal
1836.07.11_CaledonianMercury
1836.07.11_CaledonianMercury
1836.07.11_Times
1836.07.11_Times
1836.07.12_BrightonPatriotandSouthofEnglandFreePress
1836.07.12_BrightonPatriotandSouthofEnglandFreePress
1836.07.12_NorthWalesChronicle
1836.07.12_TheBelfastNews-Letter
1836.07.12_Times
1836.07.12_Times
1836.07.15_TheHullPacket
1836.07.16_PrestonChronicle
1836.07.16_PrestonChronicle
1836.07.16_TheBristolMercury
1836.07.16_TheBristolMercury
1836.07.16_TheIpswichJournal
1836.07.17_TheExaminer
1836.07.17_TheExaminer
1836.07.18_CaledonianMercury
1836.07.18_CaledonianMercury
1836.07.18_Times
1836.07.18_Times
1836.07.18_Times
1836.07.19_BrightonPatriotandSouthofEnglandFreePress
1836.07.20_TheDerbyMercury
1836.07.20_TheDerbyMercury
1836.07.20_Times
1836.07.20_Times
1836.07.22_TheHullPacket
1836.07.23_PrestonChronicle
1836.07.23_PrestonChronicle
1836.07.23_TheBristolMercury
1836.07.23_TheBristolMercury
1836.07.23_TheIpswichJournal
1836.07.24_TheExaminer
1836.07.25_CaledonianMercury
1836.07.25_HampshireTelegraphandSussexChronicleetc
1836.07.25_Times
1836.07.26_BrightonPatriotandSouthofEnglandFreePress
1836.07.26_TheBelfastNews-Letter
1836.07.27_TheDerbyMercury
1836.07.27_Times
1836.07.29_TheHullPacket
1836.07.29_TheHullPacket
1836.07.30_CaledonianMercury
1836.07.30_CaledonianMercury
1836.07.30_PrestonChronicle
1836.07.30_PrestonChronicle
1836.07.30_TheBristolMercury
1836.07.30_TheBristolMercury
1836.07.30_TheIpswichJournal
1836.07.30_TheNewcastleCourantetc
1836.07.31_TheExaminer
1836.07.31_TheExaminer
1836.07.31_TheExaminer
1836.08.02_BrightonPatriotandSouthofEnglandFreePress
1836.08.02_BrightonPatriotandSouthofEnglandFreePress
1836.08.02_NorthWalesChronicle
1836.08.03_TheDerbyMercury
1836.08.05_TheHullPacket
1836.08.06_PrestonChronicle
1836.08.06_TheBristolMercury
1836.08.06_TheManchesterTimesandGazette
1836.08.06_TheNewcastleCourantetc
1836.08.07_TheExaminer
1836.08.09_BrightonPatriotandSouthofEnglandFreePress
1836.08.10_TheDerbyMercury
1836.08.12_TheHullPacket
1836.08.13_TheBristolMercury
1836.08.14_TheExaminer
1836.08.16_BrightonPatriotandSouthofEnglandFreePress
1836.08.19_TheHullPacket
