1804.07.14_Jackson'sOxfordJournal
1804.07.21_Jackson'sOxfordJournal
1804.07.21_Jackson'sOxfordJournal
1804.07.21_Jackson'sOxfordJournal
1804.07.21_Jackson'sOxfordJournal
1804.07.23_CaledonianMercury
1804.07.23_HampshireTelegraphandSussexChronicleetc
1804.07.23_HampshireTelegraphandSussexChronicleetc
1804.07.28_Jackson'sOxfordJournal
1804.07.28_Jackson'sOxfordJournal
1804.07.28_Jackson'sOxfordJournal
1804.07.30_HampshireTelegraphandSussexChronicleetc
1804.08.04_Jackson'sOxfordJournal
1804.08.04_Jackson'sOxfordJournal
1804.08.06_CaledonianMercury
1804.08.06_HampshireTelegraphandSussexChronicleetc
1804.08.06_HampshireTelegraphandSussexChronicleetc
