1821.06.09_TheLeedsMercury
1821.06.14_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser
1821.06.16_Jackson'sOxfordJournal
1821.06.16_TheLeedsMercury
1821.06.23_Jackson'sOxfordJournal
1821.06.23_Jackson'sOxfordJournal
1821.06.23_Jackson'sOxfordJournal
1821.06.23_TheLeedsMercury
1821.06.30_Jackson'sOxfordJournal
1821.06.30_TheLeedsMercury
1821.06.30_TheLeedsMercury
1821.07.07_Jackson'sOxfordJournal
1821.07.14_Jackson'sOxfordJournal
1821.07.21_Jackson'sOxfordJournal
