1811.09.11_TheAberdeenJournal
1811.09.14_Jackson'sOxfordJournal
1811.09.14_Jackson'sOxfordJournal
1811.09.18_TheAberdeenJournal
1811.09.18_TheAberdeenJournal
1811.09.21_Jackson'sOxfordJournal
1811.09.25_TheAberdeenJournal
1811.09.25_TheAberdeenJournal
1811.09.25_TheAberdeenJournal
1811.09.28_Jackson'sOxfordJournal
1811.10.03_TheDerbyMercury
1811.10.05_Jackson'sOxfordJournal
1811.10.05_Jackson'sOxfordJournal
1811.10.09_TheAberdeenJournal
