1829.09.12_TheNewcastleCourantetc
1829.09.12_Times
1829.09.15_TheBristolMercury
1829.09.15_TheHullPacketandHumberMercury
1829.09.16_TheDerbyMercury
1829.09.16_Times
1829.09.16_Times
1829.09.18_TheBelfastNews-Letter
1829.09.18_Times
1829.09.18_Times
1829.09.19_TheNewcastleCourantetc
1829.09.21_Times
1829.09.21_Times
1829.09.21_Times
1829.09.22_TheHullPacketandHumberMercury
1829.09.23_TheAberdeenJournal
1829.09.23_TheDerbyMercury
1829.09.23_TheDerbyMercury
1829.09.23_Times
1829.09.25_TheBelfastNews-Letter
1829.09.25_Times
1829.09.25_Times
1829.09.26_TheNewcastleCourantetc
1829.09.26_Times
1829.09.26_Times
1829.09.28_Times
1829.09.29_Times
1829.09.29_Times
1829.09.29_Times
1829.09.30_TheAberdeenJournal
1829.09.30_TheDerbyMercury
1829.09.30_Times
1829.09.30_Times
1829.10.01_Times
1829.10.03_TheNewcastleCourantetc
1829.10.03_Times
1829.10.07_TheAberdeenJournal
1829.10.07_TheDerbyMercury
1829.10.07_TheDerbyMercury
1829.10.09_TheBelfastNews-Letter
1829.10.10_TheNewcastleCourantetc
1829.10.14_TheDerbyMercury
1829.10.21_TheDerbyMercury
