1822.08.11_TheExaminer
1822.08.17_Jackson'sOxfordJournal
1822.08.17_TheLeedsMercury
1822.08.19_TheBristolMercury
1822.08.24_Jackson'sOxfordJournal
1822.08.24_TheLeedsMercury
1822.08.24_TheLeedsMercury
1822.08.27_TheMorningChronicle
1822.08.28_TheMorningChronicle
1822.08.29_TheMorningChronicle
1822.08.30_TheMorningChronicle
1822.08.31_Jackson'sOxfordJournal
1822.08.31_TheLeedsMercury
1822.08.31_TheMorningChronicle
1822.08.31_TheMorningChronicle
1822.09.02_TheMorningChronicle
1822.09.02_TheMorningChronicle
1822.09.03_TheMorningChronicle
1822.09.07_Jackson'sOxfordJournal
1822.09.14_Jackson'sOxfordJournal
